event_a,event_b,correlation,mean_abs_delta_db
1782605969288_blow_normal_event3_peak4.710s,1782605965032_blow_close_event2_peak1.201s,0.892210,6.320272
1782605969288_blow_normal_event3_peak4.710s,1782605965032_blow_close_event3_peak2.431s,0.911224,6.162308
1782605969288_blow_normal_event3_peak4.710s,1782606063167_failed_blow_event1_peak5.756s,0.759683,10.612161
1782605969288_blow_normal_event3_peak4.710s,1658418647612_blow_normal_event1_peak0.402s,0.871322,7.381861
1782605969288_blow_normal_event3_peak4.710s,1658418647612_blow_normal_event2_peak2.207s,0.788155,9.706834
1782605969288_blow_normal_event3_peak4.710s,1658418647612_blow_normal_event3_peak3.536s,0.815865,9.371647
1782605969288_blow_normal_event3_peak4.710s,1658418647612_blow_normal_event4_peak4.765s,0.836301,8.606411
1782605969288_blow_normal_event3_peak4.710s,1658418647612_blow_normal_event5_peak7.402s,0.893015,6.955174
1782605969288_blow_normal_event3_peak4.710s,1782608426130_failed_blow_event1_peak0.018s,0.846426,10.383328
1782605969288_blow_normal_event3_peak4.710s,1782608426130_failed_blow_event2_peak1.056s,0.610022,13.484299
1782605969288_blow_normal_event3_peak4.710s,1782608432269_failed_blow_event1_peak0.799s,0.431413,16.750537
1782605969288_blow_normal_event3_peak4.710s,1782608432269_failed_blow_event2_peak1.919s,0.398488,18.851755
1782605969288_blow_normal_event3_peak4.710s,1782608432269_failed_blow_event3_peak2.872s,0.078450,19.135387
1782605969288_blow_normal_event3_peak4.710s,1782608436951_failed_blow_event1_peak1.043s,0.089701,21.070170
1782605969288_blow_normal_event3_peak4.710s,1782608436951_failed_blow_event2_peak1.703s,-0.100339,20.990566
1782605969288_blow_normal_event3_peak4.710s,1782608436951_failed_blow_event3_peak2.458s,0.871338,9.561657
1782605969288_blow_normal_event3_peak4.710s,1782608436951_failed_blow_event4_peak3.693s,0.348977,18.232711
1782605969288_blow_normal_event3_peak4.710s,1782608441920_failed_blow_event1_peak10.579s,0.544158,23.328619
1782605969288_blow_normal_event3_peak4.710s,1782608453936_failed_blow_event1_peak2.174s,0.240905,24.022610
1782605969288_blow_normal_event3_peak4.710s,1782608453936_failed_blow_event2_peak4.632s,0.669939,12.781686
1782605969288_blow_normal_event3_peak4.710s,1782608460487_failed_blow_event1_peak3.184s,0.197810,18.526732
1782605969288_blow_normal_event3_peak4.710s,1782608460487_failed_blow_event2_peak5.372s,0.293465,15.742627
1782605969288_blow_normal_event3_peak4.710s,1782608460487_failed_blow_event3_peak7.802s,0.461144,19.952234
1782605969288_blow_normal_event3_peak4.710s,1782608469432_failed_blow_event1_peak1.335s,0.374941,15.343638
1782605969288_blow_normal_event3_peak4.710s,1782608469432_failed_blow_event2_peak3.676s,0.027704,20.331312
1782605969288_blow_normal_event3_peak4.710s,1782608469432_failed_blow_event3_peak6.212s,-0.529526,23.037109
1782605969288_blow_normal_event3_peak4.710s,1782608469432_failed_blow_event4_peak8.373s,-0.078516,19.298958
1782605969288_blow_normal_event3_peak4.710s,1782608469432_failed_blow_event5_peak9.854s,-0.376084,21.102211
1782605969288_blow_normal_event3_peak4.710s,1782608469432_failed_blow_event6_peak11.059s,-0.074397,19.817252
1782605969288_blow_normal_event3_peak4.710s,1782608144876_failed_blow_event1_peak1.226s,0.577175,13.285305
1782605969288_blow_normal_event3_peak4.710s,1782608147589_failed_blow_event1_peak1.373s,0.135577,17.982750
1782605969288_blow_normal_event3_peak4.710s,1782608150662_failed_blow_event1_peak1.433s,0.656176,12.030110
1782605969288_blow_normal_event3_peak4.710s,1782608150662_failed_blow_event2_peak2.805s,0.638460,12.188531
1782605969288_blow_normal_event3_peak4.710s,1782608150662_failed_blow_event3_peak4.547s,0.549403,13.673310
1782605969288_blow_normal_event3_peak4.710s,1782608150662_failed_blow_event4_peak7.191s,-0.659990,26.874093
1782605969288_blow_normal_event3_peak4.710s,1782608160173_failed_blow_event1_peak1.211s,-0.120928,21.060894
